"cohort_month","month_offset","active_customers","cohort_size","retention_rate_percent"
"2016-09-01 00:00:00","0","1","1","100.00"
"2016-10-01 00:00:00","0","262","262","100.00"
"2016-10-01 00:00:00","1","1","262","0.38"
"2016-10-01 00:00:00","2","1","262","0.38"
"2016-10-01 00:00:00","5","1","262","0.38"
"2016-10-01 00:00:00","6","2","262","0.76"
"2016-10-01 00:00:00","7","1","262","0.38"
"2016-10-01 00:00:00","8","2","262","0.76"
"2016-10-01 00:00:00","9","1","262","0.38"
"2016-10-01 00:00:00","11","1","262","0.38"
"2016-12-01 00:00:00","0","1","1","100.00"
"2017-01-01 00:00:00","0","717","717","100.00"
"2017-01-01 00:00:00","1","3","717","0.42"
"2017-01-01 00:00:00","3","7","717","0.98"
"2017-01-01 00:00:00","4","4","717","0.56"
"2017-01-01 00:00:00","5","1","717","0.14"
"2017-01-01 00:00:00","6","2","717","0.28"
"2017-01-01 00:00:00","7","3","717","0.42"
"2017-01-01 00:00:00","10","4","717","0.56"
"2017-01-01 00:00:00","11","5","717","0.70"
"2017-02-01 00:00:00","0","1628","1628","100.00"
"2017-02-01 00:00:00","1","6","1628","0.37"
"2017-02-01 00:00:00","2","5","1628","0.31"
"2017-02-01 00:00:00","3","6","1628","0.37"
"2017-02-01 00:00:00","4","6","1628","0.37"
"2017-02-01 00:00:00","5","4","1628","0.25"
"2017-02-01 00:00:00","6","4","1628","0.25"
"2017-02-01 00:00:00","7","2","1628","0.12"
"2017-02-01 00:00:00","8","2","1628","0.12"
"2017-02-01 00:00:00","9","4","1628","0.25"
"2017-02-01 00:00:00","11","6","1628","0.37"
"2017-03-01 00:00:00","0","2503","2503","100.00"
"2017-03-01 00:00:00","1","11","2503","0.44"
"2017-03-01 00:00:00","2","21","2503","0.84"
"2017-03-01 00:00:00","3","10","2503","0.40"
"2017-03-01 00:00:00","4","6","2503","0.24"
"2017-03-01 00:00:00","5","4","2503","0.16"
"2017-03-01 00:00:00","6","8","2503","0.32"
"2017-03-01 00:00:00","7","6","2503","0.24"
"2017-03-01 00:00:00","8","5","2503","0.20"
"2017-03-01 00:00:00","9","8","2503","0.32"
"2017-03-01 00:00:00","10","4","2503","0.16"
"2017-03-01 00:00:00","11","3","2503","0.12"
"2017-04-01 00:00:00","0","2256","2256","100.00"
"2017-04-01 00:00:00","1","11","2256","0.49"
"2017-04-01 00:00:00","2","7","2256","0.31"
"2017-04-01 00:00:00","3","4","2256","0.18"
"2017-04-01 00:00:00","4","8","2256","0.35"
"2017-04-01 00:00:00","5","8","2256","0.35"
"2017-04-01 00:00:00","6","6","2256","0.27"
"2017-04-01 00:00:00","7","9","2256","0.40"
"2017-04-01 00:00:00","8","6","2256","0.27"
"2017-04-01 00:00:00","9","6","2256","0.27"
"2017-04-01 00:00:00","10","1","2256","0.04"
"2017-04-01 00:00:00","11","3","2256","0.13"
"2017-05-01 00:00:00","0","3451","3451","100.00"
"2017-05-01 00:00:00","1","17","3451","0.49"
"2017-05-01 00:00:00","2","20","3451","0.58"
"2017-05-01 00:00:00","3","12","3451","0.35"
"2017-05-01 00:00:00","4","12","3451","0.35"
